epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,47.8904,2.24126,2.84045,1.9216,0.03467,0.1284,0.02182,0.00768,3.25008,4.07203,3.34401,0.001307,0.001307,0.001307
72,48.5636,2.15179,2.79722,1.92603,0.03467,0.1284,0.02182,0.00768,3.25008,4.07203,3.34401,0.0012971,0.0012971,0.0012971
73,49.2589,2.36766,2.85116,1.9751,0.03467,0.1284,0.02182,0.00768,3.25008,4.07203,3.34401,0.0012872,0.0012872,0.0012872
74,49.9337,2.29404,2.89657,1.84332,0.03467,0.1284,0.02182,0.00768,3.25008,4.07203,3.34401,0.0012773,0.0012773,0.0012773
75,50.63,2.29232,2.97965,1.82081,0.03467,0.1284,0.02182,0.00768,3.25008,4.07203,3.34401,0.0012674,0.0012674,0.0012674
76,51.3285,2.28103,2.8146,1.85413,0.1514,0.47407,0.12424,0.0666,1.5233,2.50657,1.56495,0.0012575,0.0012575,0.0012575
77,52.0207,1.296,2.69321,1.34362,0.1514,0.47407,0.12424,0.0666,1.5233,2.50657,1.56495,0.0012476,0.0012476,0.0012476
78,52.7113,1.30167,2.75914,1.35898,0.1514,0.47407,0.12424,0.0666,1.5233,2.50657,1.56495,0.0012377,0.0012377,0.0012377
79,53.3922,1.25862,2.63446,1.29146,0.1514,0.47407,0.12424,0.0666,1.5233,2.50657,1.56495,0.0012278,0.0012278,0.0012278
80,54.078,1.23012,2.59229,1.28121,0.1514,0.47407,0.12424,0.0666,1.5233,2.50657,1.56495,0.0012179,0.0012179,0.0012179
81,54.7806,1.43913,2.8009,1.34677,0.1514,0.47407,0.12424,0.0666,1.5233,2.50657,1.56495,0.001208,0.001208,0.001208
82,55.4629,1.38824,2.61762,1.43318,0.1514,0.47407,0.12424,0.0666,1.5233,2.50657,1.56495,0.0011981,0.0011981,0.0011981
83,56.1955,1.19696,2.8887,1.24961,0.1514,0.47407,0.12424,0.0666,1.5233,2.50657,1.56495,0.0011882,0.0011882,0.0011882
84,56.8697,1.40126,2.56615,1.41355,0.1514,0.47407,0.12424,0.0666,1.5233,2.50657,1.56495,0.0011783,0.0011783,0.0011783
85,57.5099,1.30973,2.6063,1.30762,0.1514,0.47407,0.12424,0.0666,1.5233,2.50657,1.56495,0.0011684,0.0011684,0.0011684
86,58.196,1.39077,2.63493,1.36431,0.1514,0.47407,0.12424,0.0666,1.5233,2.50657,1.56495,0.0011585,0.0011585,0.0011585
87,58.8625,1.19895,2.56702,1.30947,0.1514,0.47407,0.12424,0.0666,1.5233,2.50657,1.56495,0.0011486,0.0011486,0.0011486
88,59.5655,1.35535,2.58466,1.37249,0.1514,0.47407,0.12424,0.0666,1.5233,2.50657,1.56495,0.0011387,0.0011387,0.0011387
89,60.2758,1.18007,2.64601,1.22793,0.66165,0.81975,0.70191,0.47872,0.90891,1.5877,1.0574,0.0011288,0.0011288,0.0011288
90,61.0211,1.01059,2.36565,1.19804,0.66165,0.81975,0.70191,0.47872,0.90891,1.5877,1.0574,0.0011189,0.0011189,0.0011189
91,61.7464,1.04931,2.28595,1.23227,0.66165,0.81975,0.70191,0.47872,0.90891,1.5877,1.0574,0.001109,0.001109,0.001109
92,62.3933,0.99837,2.37021,1.1528,0.66165,0.81975,0.70191,0.47872,0.90891,1.5877,1.0574,0.0010991,0.0010991,0.0010991
93,63.0845,1.11504,2.46564,1.19222,0.66165,0.81975,0.70191,0.47872,0.90891,1.5877,1.0574,0.0010892,0.0010892,0.0010892
94,63.8036,1.05447,2.42921,1.17748,0.66165,0.81975,0.70191,0.47872,0.90891,1.5877,1.0574,0.0010793,0.0010793,0.0010793
95,64.4907,1.09007,2.262,1.1511,0.66165,0.81975,0.70191,0.47872,0.90891,1.5877,1.0574,0.0010694,0.0010694,0.0010694
96,65.1963,1.01575,2.38912,1.15654,0.66165,0.81975,0.70191,0.47872,0.90891,1.5877,1.0574,0.0010595,0.0010595,0.0010595
97,65.8838,1.05991,2.25993,1.21596,0.66165,0.81975,0.70191,0.47872,0.90891,1.5877,1.0574,0.0010496,0.0010496,0.0010496
98,66.5495,1.05278,2.53011,1.2286,0.66165,0.81975,0.70191,0.47872,0.90891,1.5877,1.0574,0.0010397,0.0010397,0.0010397
99,67.2158,0.95546,2.19224,1.1498,0.66165,0.81975,0.70191,0.47872,0.90891,1.5877,1.0574,0.0010298,0.0010298,0.0010298
100,67.9053,1.00617,2.27505,1.1921,0.66165,0.81975,0.70191,0.47872,0.90891,1.5877,1.0574,0.0010199,0.0010199,0.0010199
101,68.6127,0.97341,2.44188,1.12061,0.66165,0.81975,0.70191,0.47872,0.90891,1.5877,1.0574,0.00101,0.00101,0.00101
102,69.3134,0.86993,2.1513,1.11084,0.79192,0.9037,0.8244,0.65889,0.73875,1.19991,0.96056,0.0010001,0.0010001,0.0010001
103,70.032,0.92899,2.09152,1.10439,0.79192,0.9037,0.8244,0.65889,0.73875,1.19991,0.96056,0.0009902,0.0009902,0.0009902
